Startup,Location,Sector,Date,Amount (US$),Investors,Stage,Debt/Equity,Female co-founder/CEO?,Local founder?,Intnl founder?,Launched?,Accelerator?,Employees,Funding Year
AZA Finance,Kenya,fintech,,"20,000,000.00",,Undisclosed,Equity,Yes,No,Yes,2013,No,138,2021
Fingo Africa,Kenya,fintech,,"125,000.00","Y Combinator, Launch Africa Ventures, Chandaria Capital",Pre-seed,Equity,No,Yes,No,2020,Yes,8,2021
HerVest,Nigeria,fintech,,,,Undisclosed ,Equity,Yes,Yes,No,2020,No,9,2021
Mazzuma,Ghana,fintech,,"125,000.00",CV VC,Undisclosed ,Equity,No,Yes,No,2015,Yes,5,2021
CARMA,Nigeria,fintech,,"125,000.00",CV VC,Undisclosed,Equity,No,No,Yes,2020,Yes,5,2021
FinAccess,Kenya,fintech,,,"Launch Africa Ventures, UNCOVERED FUND, others",Undisclosed,Equity,Yes,Yes,No,2017,No,26,2021
Kuunda,South Africa,fintech,,,"FINCA, Launch Africa Ventures, Kepple Africa Ventures, Rally Cap Ventures",Undisclosed,Equity,No,Yes,No,2018,No,9,2021
Buycoins,Nigeria,fintech,,,Kepple Africa Ventures,Undisclosed,Equity,No,Yes,No,2017,Yes,29,2021
Bitnob,Nigeria,fintech,,,"Kepple Africa Ventures, Acuity Ventures",Pre-seed,Equity,No,Yes,No,2020,No,28,2021
Sudo,Nigeria,fintech,,,"Kepple Africa Ventures, Rally Cap Ventures, Suya Fund",Undisclosed,Equity,No,Yes,No,2020,No,6,2021
Oval,Nigeria,fintech,,,Kepple Africa Ventures,Undisclosed,Equity,No,Yes,No,2014,No,4,2021
PesaKit,Kenya,fintech,,,DFS Lab,Undisclosed,Equity,No,Yes,No,2018,Yes,16,2021
Boya,Kenya,fintech,,,Launch Africa Ventures,Undisclosed,Equity,No ,Yes,No,2019,No,12,2021
Cauri Money,Senegal,fintech,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2019,No,7,2021
Celbux,South Africa,fintech,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2012,No,25,2021
Digitech,Ivory Coast,fintech,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2016,Yes,5,2021
Envel,South Africa,fintech,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2018,No,43,2021
Kalpay,Senegal,fintech,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2019,No,17,2021
Kaoun,Tunisia,fintech,,,"Launch Africa Ventures, Rally Cap Ventures, Musha Ventures, Bridging Angels and 216 Capital",Undisclosed,Equity,No ,Yes,No,2017,No,94,2021
Knabu,Nigeria,fintech,,,Launch Africa Ventures,Undisclosed,Equity,Yes,No,Yes,2017,No,6,2021
Trove,Nigeria,fintech,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2018,Yes,37,2021
truID,South Africa,fintech,,,"Launch Africa Ventures, Century Oak Capital, KPI VC, Investec, Crossfin Technology Group",Pre-Series A,Equity,No,Yes,No,2017,No,4,2021
Waya,Ghana,fintech,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2018,No,27,2021
Zazuu,Nigeria,fintech,,,"Launch Africa Ventures, Founders Factory Africa",Pre-seed,Equity,No,Yes,No,2018,No,5,2021
Bloc,Nigeria,fintech,,,"Rally Cap Ventures, Microtraction, Musha Ventures",Pre-seed,Equity,Yes,Yes,No,2009,No,55,2021
Axis Pay,Egypt,fintech,,,"Rally Cap Ventures, Suya Fund",Undisclosed,Equity,No,Yes,No,2021,No,14,2021
Rise,Nigeria,fintech,,,Rally Cap Ventures,Undisclosed,Equity,No,Yes,No,2019,Yes,44,2021
Allawee,Nigeria,fintech,,,Rally Cap Ventures,Undisclosed,Equity,No,No,Yes,2021,No,4,2021
Bank 54,Nigeria,fintech,,,"Rally Cap Ventures, Suya Fund",Undisclosed,Equity,No,Yes,No,2021,No,11,2021
HoneyCoin,Kenya,fintech,,,"Microtraction, Musha Ventures",Pre-seed,Equity,No,Yes,No,2020,No,3,2021
Pivo,Nigeria,fintech,,,Microtraction,Pre-seed,Equity,Yes,Yes,No,2021,No,3,2021
Nash,Kenya,fintech,,,Musha Ventures,Undisclosed,Equity,No,Yes,No,2021,No,4,2021
Earnipay,Nigeria,fintech,,,Musha Ventures,Undisclosed,Equity,No,Yes,No,2021,No,8,2021
Nestcoin,Nigeria,fintech,,,"Musha Ventures, Suya Fund",Undisclosed,Equity,Yes,Yes,No,2021,No,17,2021
Opareta,Uganda,fintech,,,Musha Ventures,Undisclosed,Equity,No,Yes,No,2020,No,1,2021
LazerPay,Nigeria,fintech,,,Musha Ventures,Undisclosed,Equity,No,Yes,No,2021,No,4,2021
Ceviant Finance,Nigeria,fintech,,,"Musha Ventures, Suya Fund",Undisclosed,Equity,No,Yes,No,2020,No,2,2021
Opio,Egypt,e-commerce,January,"300,000.00","AUC Angels, FlatLabs, angel investors",Seed,Equity,Yes,Yes,No,2018,Yes,18,2021
ZUMI,Kenya,e-commerce,January + February,,"Zephyr Management, Musha Ventures (January), Sherpa Ventures (February)",Seed,Equity,No,No,Yes,2016,No,14,2021
T?ill?,Nigeria,e-commerce,February,,CcHub Syndicate,Undisclosed,Equity,Yes,Yes,No,2018,Yes,12,2021
Powered by People,Kenya,e-commerce,February,"1,500,000.00","Matt Kalish of DraftKings, TBD Angels, angel investors who are affiliates with DraftKings, Skillz, Uber, and Good+Well.",Seed,Equity,Yes,No,Yes,2019,No,20,2021
Get It Done Now,Nigeria,e-commerce,February,,,Undisclosed,Equity,No,Yes,Yes,2018,No,4,2021
Side,Kenya,e-commerce,March,,Jua Kickstarter Fund,Undisclosed,Equity,Yes,Yes,No,2020,No,1,2021
zVendo,Egypt,e-commerce,March + May,,"EFG EV Fintech, angel investors",Seed + Pre-Series A,Equity,No,Yes,No,2018,No,10,2021
Pricepally,Nigeria,e-commerce,April + November,,"Samurai Incubate, Launch Africa Ventures (April), SOSV (November)",Pre-seed,Equity,No,Yes,No,2019,Yes,9,2021
Estores Factory,Tunisia,e-commerce,April,"72,000.00",Flat6Labs,Seed,Equity,No,Yes,No,2021,Yes,1,2021
Hanoutify,Tunisia,e-commerce,April,"72,000.00",Flat6Labs,Seed,Equity,No,Yes,No,2020,Yes,1,2021
Kemitt,Egypt,e-commerce,April,,Saudi angel investors,Seed,Equity,No,Yes,No,2017,Yes,13,2021
Lumiere,Egypt,e-commerce,April,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,1,2021
The Baby Garage,Egypt,e-commerce,April,,Flat6Labs,Undisclosed,Equity,Yes,Yes,No,2015,Yes,6,2021
Appetito,Egypt,e-commerce,April + November,"2,450,000.00","Saudi Angel investors led by Ahmed Al Alola, LoftyInc Afropreneurs Fund, Jedar Capital (April),  Jedar Capital, a US-based early-stage VC focusing on MENA and Emerging Asia, with additional participation from Golden Palm Investments, DFS Lab and a group of prominent angel investors and family offices (November)",Seed / Pre-Series A,Equity,No,Yes,No,2020,No,12,2021
Rabawa,Nigeria,e-commerce,April,"163,000.00",Aptive Capital,Undisclosed,Equity,Yes,Yes,No,2020,No,2,2021
Kasha,Rwanda,e-commerce,May,,Mastercard,Series A,Equity,Yes,No,Yes,2016,Yes,57,2021
Homzmart,Egypt,e-commerce,May,"15,000,000.00","MSA Capital, Nuwa Capital, Rise Capital, Impact46, EQ2 Ventures, Outliers Ventures",Series A,Equity,No,Yes,No,2019,No ,112,2021
Epicerie Verte,Morocco,e-commerce,May,"738,000.00",Azur Innovation Fund,Undisclosed,Equity,No,Yes,No,2018,No,8,2021
Tejarra ,Egypt,e-commerce,June,,Openner,Seed,Equity,No,Yes,No,2021,Yes,4,2021
DressCode,Egypt,e-commerce,June,"250,000.00",Egypt Ventures,Undisclosed,Equity,Yes,Yes,No,2018,No,13,2021
Kune,Kenya,e-commerce,June,"1,000,000.00","Launch Africa Ventures, Century Oak Capital GmbH and Consonance",Pre-seed,Equity,No,No,Yes,2021,No,7,2021
Worldbay Technologies,Nigeria,e-commerce,June,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2020,Yes,15,2021
Boost,Ghana,e-commerce,June,,DFS Lab,Undisclosed,Equity,No,No,Yes,2019,No,17,2021
Brown and Ayo,South Africa,e-commerce,July,"276,000.00",Enygma Ventures,Undisclosed,Equity,Yes,Yes,No,2019,No,5,2021
MaxAB,Egypt,e-commerce,July,"55,000,000.00","RMBV, IFC, Flourish Ventures, Crystal Stream Capital, Rise Capital, Endeavour Catalyst, BECO Capital, 4DX Ventures",Series A,Equity,No,Yes,No,2018,No,286,2021
LNKO,Morocco,e-commerce,July,"335,000.00",CDG Invest,Undisclosed,Equity,Yes,Yes,No,2020,Yes,4,2021
GoodsMart,Egypt,e-commerce,July,"3,600,000.00",Sawari Ventures,Undisclosed,Equity,No,Yes,No,2014,No,55,2021
Hustle Sasa,Kenya,e-commerce,July,,Sherpa Ventures,Undisclosed,Equity,No,Yes,No,2021,No,6,2021
Teegara,Egypt,e-commerce,August,,Alexandria Angels. other angels,Pre-seed,Equity,No,Yes,No,2019,No,20,2021
Showlove,Nigeria,e-commerce,August,"300,000.00","Fedha Capital, angel investors",Pre-seed,Equity,No,Yes,No,2020,No,6,2021
Shara,Kenya,e-commerce,August,,"Sherpa Ventures, Acuity Ventures, Musha Ventures",Undisclosed,Equity,No,No,Yes,2020,No,9,2021
OurPass,Nigeria,e-commerce,September + October,"1,120,000.00","Tekedia Capital, angel investors (September), Techstars (October)",Pre-seed,Equity,Yes,Yes,No,2021,No,17,2021
Greenspoon,Kenya,e-commerce,September,,The Blue Link,Undisclosed,Equity,Yes,No,Yes,2016,No,7,2021
Chari,Morocco,e-commerce,October,"5,000,000.00","Rocket Internet, Global Founders Capital, and P1 Ventures. Other investors participating in the round include Plug and Play, Y Combinator, Village Capital, MetLife Foundation, Orange Ventures, AirAngels, SPE Capital, Pincus Private Equity, Reflect Ventures, the Chandaria family, Propertyfinder founder Michael Lahyani, and the management company of an American Ivy League University.",Seed,Equity,Yes,Yes,No,2020,Yes,100,2021
alsoug,Sudan,e-commerce,October,"5,000,000.00","Fawry, Rally Cap Ventures, Musha Ventures, others",Series A,Equity,Yes,Yes,No,2016,No,11,2021
Breadfast,Egypt,e-commerce,November,"26,000,000.00","Vostok New Ventures and Endure Capital, and included participation from JAM Fund (led by Tinder co-founder Justin Mateen), YC Continuity Fund, Shorooq Partners, 4DX Ventures and Flexport",Series A,Equity,No,Yes,No,2017,Yes,203,2021
Efreshli,Egypt,e-commerce,November,"550,000.00","Tarek Sakr and property developer Marakez, with participation from other investors",Seed,Equity,Yes,Yes,No,2019,No,10,2021
Packnsave,Egypt,e-commerce,December,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,16,2021
Foodlocker,Nigeria,e-commerce,,,,Seed,Equity,No,Yes,No,2017,Yes,20,2021
Wasla Browser,Egypt,e-commerce,,,"Samurai Incubate, Kepple Africa Ventures, others",Undisclosed,Equity,No,Yes,No,2018,No,36,2021
CoinAfrique,Senegal,e-commerce,,,Kepple Africa Ventures,Undisclosed,Equity,No,Yes,No,2014,Yes,39,2021
Afrikrea,Ivory Coast,e-commerce,,,"Investisseurs & Partenaires, Joe Tsai, BESTSELLER Foundation, VestedWorld, Enigmo, Groupe Prunay, Rising Tide Africa, Saviu Ventures, Kepple Africa Ventures",Undisclosed,Equity,No,Yes,No,2016,No,26,2021
Jiji.ng,Nigeria,e-commerce,,,Kepple Africa Ventures,Undisclosed,Equity,No,No,Yes,2014,No,415,2021
TuShop,Kenya,e-commerce,,,DFS Lab,Undisclosed,Equity,Yes,Yes,No,2017,No,2,2021
Zeew,Egypt,retail-tech,January + July,,"Estonian angel investors (January), Sanabil 500 MENA Seed Accelerator (July)",Seed,Equity,No,Yes,No,2017,No,5,2021
Tanda,Kenya,retail-tech,February,,"HAVAÍC, Zedcrest Capital, DFS Lab, Victor Asemota, and three more investors",Seed,Equity,No,Yes,No,2018,No,18,2021
Pass,Nigeria,retail-tech,March,"50,000.00",ARM,Undisclosed,Equity,Yes,Yes,No,2020,Yes,12,2021
Weelo,Egypt,retail-tech,March,,"SkaleUp Ventures, Integral Capital, AUC Angels",Seed,Equity,Yes,Yes,No,2018,Yes,14,2021
Sky.Garden,Kenya,retail-tech,June,"4,000,000.00","SANAD Fund for MSME, Aavishkaar, UNCOVERED FUND and KSK Angel Fund",Series A,Equity,No,Yes,Yes,2017,Yes,38,2021
Fatura,Egypt,retail-tech,June,"3,000,000.00","Sawari Ventures, Arzan VC, Egypt Ventures, EFG-EV, Cairo Angels and Khwarizmi Ventures",Pre-Series A,Equity,No,Yes,No,2019,No,64,2021
Omnibiz,Nigeria,retail-tech,June,"3,000,000.00","V&R Africa, Timon Capital, Tangerine Insurance, Lofty Inc, Musha Ventures, Sunu Capital, Launch Africa, Ventures Platform, Rising Tide Africa, Seedstars",Seed,Equity,No,No,Yes,2019,No,136,2021
Suplias,Nigeria,retail-tech,July,"125,000.00","Y Combinator, Future Africa, DFS Lab, Atacama Ventures, Soma Capital",Seed,Equity,No,Yes,No,2020,Yes,7,2021
MarketForce,Kenya,retail-tech,July + August + November,"2,100,000.00","V8 Capital, Future Africa, GreenHouse Capital, Launch Africa, Rebel Fund, Remapped Ventures, Y Combinator, P1 Ventures (July), Harambeans Prosperity Fund (August), SOSV (November)",Pre-Series A,Equity,No,Yes,No,2018,Yes,39,2021
Taager,Egypt,retail-tech,July,"6,400,000.00","4DX Ventures, Raed Ventures, Beco Capital, Breyer Capital, and a number of key private investors including Magnus Olsson.",Seed,Equity,No,Yes,No,2019,No,85,2021
Sabi,Nigeria,retail-tech,August + November,"6,000,000.00","CRE Ventures, Janngo Capital, Atlantica Ventures, and Waarde Capital (both rounds) Vested World (November), Acuity Ventures",Seed/bridge,Equity,Yes,Yes,No,2020,No,42,2021
Versus Africa,Nigeria,retail-tech,August,"850,000.00",,Pre-seed,Equity,No,Yes,No,2018,No,10,2021
Alerzo,Nigeria,retail-tech,August,"10,500,000.00","Nosara Capital. FJ Labs and several family offices from the US, Europe and Asia, including Michael Novogratz’s",Series A,Equity,No,Yes,No,2018,No,145,2021
Bumpa,Nigeria,retail-tech,September,"200,000.00","Greencap Equity, HOAQ Club, Whogohost Venture Arm, Rizq Investment Group, Microtraction, DFS Lab, Aidi Ventures, Prosper Otemuyiwa, Oo Nwoye, Perfect Makanju and a few other angels",Pre-seed,Equity,No,Yes,No,2021,No,7,2021
Capiter,Egypt,retail-tech,September,"33,000,000.00","Quona Capital, MSA Capital, Savola, Shorooq Partners, Foundation Ventures, Accion Venture Lab, and Derayah Ventures",Series A,Equity,No,Yes,No,2020,No,201,2021
Cartona,Egypt,retail-tech,September,"4,500,000.00","Global Ventures, Kepple Africa Ventures, T5 Ventures and a group of angel investors",Pre-Series A,Equity,No,Yes,No,2020,No,51,2021
Talabeyah,Egypt,retail-tech,October,"1,100,000.00",Angel investors,Undisclosed,Equity,No,Yes,No,2020,No,18,2021
Duhqa,Kenya,retail-tech,October,"120,000.00",Techstars,Undisclosed,Equity,No ,Yes,No,2020,Yes,18,2021
Kuzlo,Egypt,retail-tech,October,,Nama Ventures,Undisclosed ,Equity,No,Yes,No,2021,No,3,2021
Tegarti,Egypt,retail-tech,November,"120,000.00",Techstars Riyadh,Undisclosed,Equity,No,Yes,No,2020,Yes,11,2021
Sle3ti,Morocco,retail-tech,November,"1,300,000.00",Richbond Group,Undisclosed,Equity,No,Yes,No,2020,No,3,2021
TradeDepot,Nigeria,retail-tech,December,"110,000,000.00","International Finance Corporation (IFC), with participation from Novastar, Sahel Capital, CDC Group, Endeavor Catalyst and existing investors, Partech and MSA Capital. The debt funding was led by Arcadia Funds. ",Series B,Equity/debt,No,Yes,No,2016,No,247,2021
WaffarX,Egypt,retail-tech,December,,"Lobby Capital, A15",Undisclosed,Equity,No,Yes,No,2016,Yes,13,2021
Brimore,Egypt,retail-tech,,,"Fawry, Acuity Ventures",Series A,Equity,No,Yes,No,2017,Yes,210,2021
BaiaNet,Kenya,retail-tech,,,"Launch Africa Ventures, Founders Factory Africa",Pre-Series A,Equity,No,No,Yes,2019,No,11,2021
Ramani,Tanzania,retail-tech,,,"Launch Africa Ventures, Musha Ventures",Undisclosed,Equity,No,Yes,No,2019,Yes,55,2021
Nawah-Scientific,Egypt,e-health,January,"1,000,000.00","Egypt Ventures,  Alexandria Fund, Cairo Angels, Alex Angels, Hult Alumni Angels, and other investors",Pre-Series A,Equity,No,Yes,No,2015,Yes,39,2021
Docspert,Egypt,e-health,January,,"Flat6Labs, MAC Capital Partners, angel investors, Launch Africa Ventures",Seed,Equity,No,Yes,No,2019,Yes,16,2021
Contro,Nigeria,e-health,January,"42,000.00",,Pre-seed,Equity,No,Yes,No,2020,No,9,2021
hearX,South Africa,e-health,February,"8,300,000.00","Bose Ventures, Futuregrowth, Assistive Technology Impact Fund, HAVAIC, Sphere Holdings",Series A,Equity,No,Yes,No,2016,No,46,2021
Whispa Health,Nigeria,e-health,March,,Jua Kickstarter Fund,Undisclosed,Equity,Yes,Yes,No,2019,No,8,2021
Impulse Biomedical,South Africa,e-health,March,,Futuregrowth,Undisclosed,Equity,No,Yes,No,2018,Yes,6,2021
TakeStep,Egypt,e-health,April,,Two angel investors,Seed,Equity,No,Yes,No,2018,No,6,2021
Akhiki,Tunisia,e-health,April,"72,000.00",Flat6Labs,Seed,Equity,No,Yes,No,2019,Yes,9,2021
Quro Medical,South Africa,e-health,April + August,"1,100,000.00","Enza Capital, Mohau Equity Partners (April), Life Healthcare (August)",Seed,Equity,Yes,Yes,No,2018,No,13,2021
Intixel,Egypt,e-health,April,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2018,Yes,8,2021
Nureab,Egypt,e-health,April,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,1,2021
TIBU Health,Kenya,e-health,April,,"Blue Haven Initiative, Kepple Africa Ventures",Seed,Equity,Yes,Yes,Yes,2020,No,9,2021
Link Health Technology,South Africa,e-health,April,"350,000.00",,Undisclosed,Equity,No,No,Yes,2017,No,4,2021
LifeQ,South Africa,e-health,May,"47,000,000.00","Invenfin, 4Di Capital, Allectus Capital, Mogul Capital, Tenhong Holdings, Analog Devices, Hannover Re, Convergence Partners, Stellar Capital Partners, Nedbank Corporate and Investment Bank, Delos, OneBio Seed Investment Fund, Virgin Group, Lireas, Allen & Co, Acequia Capital, Rachel Diamond, Halls Investments, Bremer Investments, Errol Damelin, Dietco, among others.",Undisclosed,Equity,No,Yes,No,2014,No,58,2021
CribMD,Nigeria,e-health,May,"2,600,000.00","Sputnik ATX, The Guardian Nigeria",Seed,Equity,No,Yes,No,2020,Yes,24,2021
DawaPay,Kenya,e-health,June,"50,000.00",Villgro Africa,Undisclosed,Equity,No,Yes,No,2020,No,2,2021
mDaas Global,Nigeria,e-health,June,"2,300,000.00","Newtown Partners via the Imperial Venture Fund, CRI Foundation, FINCA Ventures, Techstars, and Future Africa",Seed,Equity,Yes,Yes,No,2017,Yes,15,2021
NucleusIS,Nigeria,e-health,June,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2019,Yes,4,2021
Dawa Health,Zambia,e-health,June,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2018,Yes,6,2021
Wazi,Kenya,e-health,July,"150,000.00",Founders Factory Africa,Seed,Equity,No,Yes,Yes,2018,Yes,6,2021
VitruvianMD,South Africa,e-health,July,,"Verge Healthtech Fund, angel investors",Undisclosed,Equity,No,Yes,No,2020,No,5,2021
iNNOHEALTH,South Africa,e-health,July,,Hong Kong-based VC,Seed,Equity,No,Yes,No,2020,No,18,2021
Yodawy,Egypt,e-health,July,"7,500,000.00","Middle East Venture Partners (“MEVP”), Global Ventures, Algebra Ventures, CVentures, P1 Ventures, and Athaal Angel Investors Group",Series B,Equity,No,Yes,No,2018,No,75,2021
Strove,South Africa,e-health,July,"277,000.00",Launch Africa,Seed,Equity,No,Yes,No,2020,Yes,11,2021
Estshara,Egypt,e-health,July,"500,000.00",Egypt Ventures,Seed,Equity,No,Yes,No,2018,No,19,2021
RxAll,Ghana,e-health,July,"3,250,000.00","Launch Africa Ventures, HAX, Keisuke Honda, Acuity Ventures",Seed,Equity,Yes,Yes,Yes,2016,Yes,13,2021
Neopenda,Uganda,e-health,July,,Founders Factory Africa,Pre-Series A,Equity,Yes,No,Yes,2015,Yes,10,2021
Chekkit,Nigeria,e-health,August,"500,000.00","Launch Africa, Japan Strategic Capital, Blockchain Founders Fund, and two syndicate groups of angel investors",Pre-seed,Equity,No,Yes,No,2018,Yes,14,2021
Viebeg,Rwanda,e-health,August + November,,"Beyond Capital Ventures, Beyond Capital Fund and Eckenstein Geigy Stiftung (August), Norrsken Foundation (November)",Pre-seed,Equity,No,Yes,Yes,2018,No,10,2021
Aviro Health,South Africa,e-health,September,,"ASISA ESD Fund (managed by Edge Growth), Tuksnovation, and TIA. ",Pre-Series A,Equity,No,Yes,Yes,2012,No,14,2021
54gene,Nigeria,e-health,September,"25,000,000.00","Cathay AfricInvest Innovation Fund, Adjuvant Capital, KdT Ventures, Plexo Capital, Endeavor Capital, Ingressive Capital and others",Series B,Equity,No,Yes,No,2019,No,233,2021
Sotech,Egypt,e-health,September,"1,000,000.00","Innlife Investments, Al Raya Kuwaiti",Pre-seed,Equity,No,Yes,No,2020,No,5,2021
DataPathology,Morocco,e-health,September,"223,000.00",WitaMax,Undisclosed,Equity,No,Yes,No,2020,No,2,2021
My Health Africa,Kenya,e-health,September,,Founders Factory Africa,Seed,Equity,No,Yes,No,2017,Yes,15,2021
Healthtracka,Nigeria,e-health,October,"120,000.00",Techstars,Undisclosed,Equity,Yes,Yes,No,2021,Yes,8,2021
Fleri,Ghana,e-health,October,"120,000.00","Techstars (October), Founders Factory Africa",Undisclosed,Equity,No,Yes,No,2020,Yes,14,2021
RecoMed,South Africa,e-health,October,"1,500,000.00","Vunani Fintech Fund, AAIC, Growth Grid Venture Capital Partners, and Push Ventures",Undisclosed,Equity,No,Yes,No,2013,No,31,2021
Bypa-ss,Egypt,e-health,November,"1,000,000.00","Magic Fund, Acuity Ventures, Launch Africa, Plug and Play, Musha Ventures, Suya Fund, and other regional and international VCs. ",Pre-seed,Equity,No,Yes,No,2019,Yes,20,2021
